,track_name,track_artists,artist_genres,artist_popularity,track_album,track_duration,album_release:yyyy,album_release:mm,album_release:dd,artist_image,track_image,added_by,added_at,track_id,embed_src
0,You Were Right,['RÜFÜS DU SOL'],"['australian electropop', 'indietronica']",[75],Bloom,3.990283333333333,2016,01,22,['https://i.scdn.co/image/ab67616100005174a5d83556275bb22511f57624'],https://i.scdn.co/image/ab67616d00001e022b4a6961af25f0ccb808d36f,Daniel Xenes,2022-02-03T15:22:56Z,5H4sJFZZjKakgTzyEVmvGX,https://open.spotify.com/embed/track/5H4sJFZZjKakgTzyEVmvGX
1,Nights,['Frank Ocean'],"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",[87],Blonde,5.119183333333333,2016,08,20,['https://i.scdn.co/image/ab67616100005174fbc3faec4a370d8393bee7f1'],https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526,Daniel Xenes,2022-02-03T15:22:10Z,7eqoqGkKwgOaWNNHx90uEZ,https://open.spotify.com/embed/track/7eqoqGkKwgOaWNNHx90uEZ
2,The Other Side Of Paradise,['Glass Animals'],"['gauze pop', 'indietronica', 'shiver pop']",[87],How To Be A Human Being,5.344233333333333,2016,08,26,['https://i.scdn.co/image/ab67616100005174e113ca9b6bcd3d3cfc3ad784'],https://i.scdn.co/image/ab67616d00001e02ec3d15eab5bd77027abc4b23,Daniel Xenes,2022-02-03T15:21:53Z,0rRjGruFonCGOt0S5zAJNQ,https://open.spotify.com/embed/track/0rRjGruFonCGOt0S5zAJNQ
3,Calling Card,['ella jane'],"['alt z', 'gen z singer-songwriter', 'indie pop', 'modern indie pop']",[54],Calling Card,3.2068833333333333,2021,10,26,['https://i.scdn.co/image/ab676161000051749c7cc89f6fcbf7e7bbb73185'],https://i.scdn.co/image/ab67616d00001e0262eb961be76772122696ff7d,vicky baker,2022-02-03T15:30:04Z,354WgOJnFIibRLOVwZZaxK,https://open.spotify.com/embed/track/354WgOJnFIibRLOVwZZaxK
4,Changing of the Seasons,['Two Door Cinema Club'],"['indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']",[72],Changing of the Seasons,3.7146666666666666,2013,01,01,['https://i.scdn.co/image/ab67616100005174dd4c0f90744cf7e079b93dc4'],https://i.scdn.co/image/ab67616d00001e02fd88bece14c0dd3b287704b1,vicky baker,2022-02-03T15:30:17Z,3KL3eFVpAVW36M9YrK2Zrk,https://open.spotify.com/embed/track/3KL3eFVpAVW36M9YrK2Zrk
5,Soaked,['LÉON'],"['metropopolis', 'pop']",[71],Soaked,3.5377,2021,10,22,['https://i.scdn.co/image/ab6761610000517430f31196c3f9dfd02af83e25'],https://i.scdn.co/image/ab67616d00001e02f81c73647037273953a15d8d,vicky baker,2022-02-03T15:30:25Z,1mFdADJrIdTRCSG5AwCdIC,https://open.spotify.com/embed/track/1mFdADJrIdTRCSG5AwCdIC
6,Seen My Man,['Trixie Mattel'],"['queer country', 'strut']",[54],Two Birds,3.2209666666666665,2017,05,02,['https://i.scdn.co/image/ab67616100005174f1edde9f08c68c9872a2188d'],https://i.scdn.co/image/ab67616d00001e0280e753390a8b665653c2f82f,Tori,2022-02-03T15:39:46Z,5UIAOfLMIueHNCiEFGQ0Rc,https://open.spotify.com/embed/track/5UIAOfLMIueHNCiEFGQ0Rc
7,104 Degrees,"['Slaughter Beach, Dog']","['alternative emo', 'anti-folk', 'bubblegrunge', 'emo', 'indie pop', 'indie punk', 'indie rock', 'lo-fi emo', 'midwest emo', 'small room']",[54],Motorcycle.jpg,2.65525,2017,07,14,['https://i.scdn.co/image/ab67616100005174d6a1c52c960aafe51af8b683'],https://i.scdn.co/image/ab67616d00001e022c87b5fdcdbf4c1538971a73,Tori,2022-02-03T15:40:07Z,3Zj3UZgeP5fKJV9iO6mt6d,https://open.spotify.com/embed/track/3Zj3UZgeP5fKJV9iO6mt6d
8,Seventeen,['Sharon Van Etten'],"['art pop', 'chamber pop', 'dream pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'new jersey indie', 'stomp and holler']",[64],Remind Me Tomorrow,4.432,2019,01,18,['https://i.scdn.co/image/ab6761610000517450f8db002a80a8574e2869dc'],https://i.scdn.co/image/ab67616d00001e023ba1f72fb3bf152db4547435,Tori,2022-02-03T16:10:35Z,5jZoYp0P8ML7AxkS3tQz3j,https://open.spotify.com/embed/track/5jZoYp0P8ML7AxkS3tQz3j
9,Family Business,['Kanye West'],"['chicago rap', 'rap']",[95],The College Dropout,4.648216666666666,2004,02,10,['https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a'],https://i.scdn.co/image/ab67616d00001e0225b055377757b3cdd6f26b78,Hannah Gooden,2022-02-03T16:04:28Z,5DBmXF7QO43Cuy9yqva116,https://open.spotify.com/embed/track/5DBmXF7QO43Cuy9yqva116
10,Banana Clip,['Miguel'],"['dance pop', 'hip hop', 'pop', 'r&b', 'urban contemporary']",[81],War & Leisure,3.3604333333333334,2017,12,01,['https://i.scdn.co/image/ab6761610000517402eeb5305fa7bdd9ddca42fc'],https://i.scdn.co/image/ab67616d00001e025e9dff10c31ac14c6c6c920d,Hannah Gooden,2022-02-03T16:04:37Z,6xagjcywpcyNFghafZPQJv,https://open.spotify.com/embed/track/6xagjcywpcyNFghafZPQJv
11,Howling At Nothing,['Nathaniel Rateliff & The Night Sweats'],"['funk', 'indie folk', 'modern blues rock', 'rock', 'stomp and holler']",[64],Nathaniel Rateliff & The Night Sweats,3.1642166666666665,2015,08,21,['https://i.scdn.co/image/ab676161000051746489278b0fe3d0d8f447fb59'],https://i.scdn.co/image/ab67616d00001e02e564c5e6be9e9cace137b989,Hannah Gooden,2022-02-03T16:04:43Z,2YhAqgvjzU2Rw44rAqzGl6,https://open.spotify.com/embed/track/2YhAqgvjzU2Rw44rAqzGl6
12,Na Sou Po,['Pantelis Pantelidis'],['greek pop'],[54],Panselinos Ke Kati - Is-Pnoi [A’ Meros],3.3868,2014,11,30,['https://i.scdn.co/image/ab676161000051744532d0ab4a3f672ec070bb19'],https://i.scdn.co/image/ab67616d00001e0239292507d3f97265d737b88f,Justin Joyce,2022-02-03T16:35:46Z,4XgnfvxiHrMda3nSctjDHi,https://open.spotify.com/embed/track/4XgnfvxiHrMda3nSctjDHi
13,Rainforest,['Noname'],"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'underground hip hop']",[62],Rainforest,2.7072666666666665,2021,02,26,['https://i.scdn.co/image/ab67616100005174848dcca3aa9c107144949f39'],https://i.scdn.co/image/ab67616d00001e0294b9322dafc3f291533eadba,Justin Joyce,2022-02-03T16:37:23Z,7thhWP37F1tHFcrnwLNaao,https://open.spotify.com/embed/track/7thhWP37F1tHFcrnwLNaao
14,Diablo Rojo,['Rodrigo y Gabriela'],"['acoustic rock', 'rumba', 'world']",[54],Rodrigo y Gabriela,4.946666666666666,2006,10,03,['https://i.scdn.co/image/ab67616100005174966eb8a41213874e0e1e43a0'],https://i.scdn.co/image/ab67616d00001e02803db1edc86af06ed7b3df0c,Justin Joyce,2022-02-03T16:37:33Z,4uYoY8xfnbpgTVKDLolwxP,https://open.spotify.com/embed/track/4uYoY8xfnbpgTVKDLolwxP
15,Nothing in Return,['Monsune'],['bedroom pop'],[54],Nothing in Return,3.87,2017,10,13,['https://i.scdn.co/image/ab67616100005174acc7832e937049a5c0b0b935'],https://i.scdn.co/image/ab67616d00001e02f2d8406975690f62a0c3ace7,aeracs,2022-02-03T17:25:16Z,2r0pJWxAyYVQTHTwcnbM8A,https://open.spotify.com/embed/track/2r0pJWxAyYVQTHTwcnbM8A
16,Plume,['Caravan Palace'],"['electro swing', 'nu jazz']",[66],Chronologic,3.09505,2019,08,30,['https://i.scdn.co/image/ab67616100005174dedbe7030797b73b6a77e39f'],https://i.scdn.co/image/ab67616d00001e02443c2bd88fdf5d00cdbb6b6d,aeracs,2022-02-03T17:25:24Z,5EHMAsay2yotO9ASrXJJaj,https://open.spotify.com/embed/track/5EHMAsay2yotO9ASrXJJaj
17,Crush,['Tessa Violet'],"['alt z', 'indie pop']",[61],Crush,3.604433333333333,2018,06,15,['https://i.scdn.co/image/ab67616100005174d6f15b62431554f669d6e352'],https://i.scdn.co/image/ab67616d00001e024e538dac22f7e959be6da222,aeracs,2022-02-03T17:25:49Z,6q7Tz67loOULIPEXo941hk,https://open.spotify.com/embed/track/6q7Tz67loOULIPEXo941hk
18,Buttercup,['Jack Stauber'],['pittsburgh indie'],[68],Pop Food,3.4671,2017,03,25,['https://i.scdn.co/image/ab67616d00001e02f65bfa6478ec5f1895d37d8f'],https://i.scdn.co/image/ab67616d00001e02f65bfa6478ec5f1895d37d8f,Raphael Norman-Tenazas,2022-02-03T17:46:15Z,2mlGPkAx4kwF8Df0GlScsC,https://open.spotify.com/embed/track/2mlGPkAx4kwF8Df0GlScsC
19,Lone Digger,['Caravan Palace'],"['electro swing', 'nu jazz']",[66],<I°_°I>,3.8300666666666667,2015,10,16,['https://i.scdn.co/image/ab67616100005174dedbe7030797b73b6a77e39f'],https://i.scdn.co/image/ab67616d00001e0211f8c2ef16474a93a06afb9a,Raphael Norman-Tenazas,2022-02-03T17:47:02Z,1Oaq4rq7EBVUiXGh7yxuYL,https://open.spotify.com/embed/track/1Oaq4rq7EBVUiXGh7yxuYL
20,Wolf Totem,['The HU'],['oriental metal'],[60],The Gereg,5.633333333333334,2019,09,13,['https://i.scdn.co/image/ab676161000051742ccdc24acf91ba14b1b2273a'],https://i.scdn.co/image/ab67616d00001e02a949df0e18e6405dbd0f3bbc,Raphael Norman-Tenazas,2022-02-03T17:48:52Z,5hISmTJXBXdOes4htbUhGk,https://open.spotify.com/embed/track/5hISmTJXBXdOes4htbUhGk
21,fwb,['brakence'],"['emo rap', 'glitchcore', 'pop rap', 'sad rap']",[64],punk2,2.29585,2020,07,01,['https://i.scdn.co/image/ab676161000051741b6f51a9c5848bc7410d7c33'],https://i.scdn.co/image/ab67616d00001e02eb88e3c32c3bb61e318695b3,Dani,2022-02-04T02:57:14Z,1XnnLXcvFd21B25H4IHEIY,https://open.spotify.com/embed/track/1XnnLXcvFd21B25H4IHEIY
22,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),"['Lil Peep', 'ILOVEMAKONNEN', 'Fall Out Boy']","['emo rap', 'lgbtq+ hip hop', 'atl hip hop', 'lgbtq+ hip hop', 'trap', 'emo', 'modern rock', 'rock']","[88, 63, 82]",I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),3.89355,2019,01,31,"['https://i.scdn.co/image/ab676161000051746685f03de475c4efb27da3c4', 'https://i.scdn.co/image/ab67616100005174d89dc215c1dbf1d5cc8d6f02', 'https://i.scdn.co/image/ab676161000051741443b137c8941b9c73237a27']",https://i.scdn.co/image/ab67616d00001e029067de29733d1ecf1b87e583,Dani,2022-02-04T02:39:25Z,2v5JTeM6hSmi5wWy7jiwrI,https://open.spotify.com/embed/track/2v5JTeM6hSmi5wWy7jiwrI
23,Let You Know,"['Flume', 'London Grammar']","['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'metropopolis', 'nottingham indie']","[76, 70]",Let You Know,3.3263166666666666,2019,06,12,"['https://i.scdn.co/image/ab67616100005174dcbf7ddf047dd267e4de8978', 'https://i.scdn.co/image/ab676161000051745cdc6c97f01c4d7b786d1e76']",https://i.scdn.co/image/ab67616d00001e02d298a421a7ec605a7982921f,Dani,2022-02-04T02:52:47Z,7p0tz5SeCrSxTLSvwR8W3D,https://open.spotify.com/embed/track/7p0tz5SeCrSxTLSvwR8W3D
24,For Elise,['Saint Motel'],"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",[68],saintmotelevision,3.3888833333333332,2016,10,21,['https://i.scdn.co/image/ab67616100005174af7827a6de340fd30b95f185'],https://i.scdn.co/image/ab67616d00001e0225dd1a3969c0912291b6fc7b,kbkrish,2022-02-04T17:04:17Z,6i40XRqEwHAnSxwZWasMRp,https://open.spotify.com/embed/track/6i40XRqEwHAnSxwZWasMRp
25,Grows Old,['Thirdstory'],['nyc pop'],[49],Cold Heart,3.9382166666666665,2018,03,09,['https://i.scdn.co/image/ab6761610000517485d655f7fd1f599911d45891'],https://i.scdn.co/image/ab67616d00001e0267d50089e99ca258cf51b912,kbkrish,2022-02-04T17:08:49Z,148qBp6yeeA2oq28xTZZ7e,https://open.spotify.com/embed/track/148qBp6yeeA2oq28xTZZ7e
26,Honey,['Kehlani'],"['dance pop', 'pop', 'pop rap', 'r&b']",[81],Honey,3.32015,2017,10,06,['https://i.scdn.co/image/ab67616100005174aeb74d9e5dba9c422cb27893'],https://i.scdn.co/image/ab67616d00001e029b64833815a10221d0e02b69,kbkrish,2022-02-04T17:09:19Z,5QTdOvIF2ehBMZpSIIGzIo,https://open.spotify.com/embed/track/5QTdOvIF2ehBMZpSIIGzIo
27,Danger,['Erykah Badu'],"['afrofuturism', 'hip hop', 'neo soul', 'r&b', 'urban contemporary']",[70],Worldwide Underground,5.816666666666666,2003,09,01,['https://i.scdn.co/image/ab67616100005174fb1bc9e7ca44d473641b7842'],https://i.scdn.co/image/ab67616d00001e02d6fe6a77e190c664573d4b41,Bluejaysramsden,2022-02-04T17:33:49Z,4dfvajW0PS2LG2kHFig8vy,https://open.spotify.com/embed/track/4dfvajW0PS2LG2kHFig8vy
28,Hideaway,['Jacob Collier'],"['indie soul', 'uk alternative pop']",[63],In My Room,6.876883333333334,2016,07,01,['https://i.scdn.co/image/ab67616100005174dc6f229602af4bcceeb06947'],https://i.scdn.co/image/ab67616d00001e026d934974896ae0a6bfd6f678,Bluejaysramsden,2022-02-04T17:34:01Z,00BTDWR6xCaGdst6cPKkpF,https://open.spotify.com/embed/track/00BTDWR6xCaGdst6cPKkpF
29,Drive and Disconnect,['Nao'],"['alternative r&b', 'indie r&b', 'indie soul', 'neo soul', 'pop', 'r&b', 'uk contemporary r&b']",[66],Saturn,3.502883333333333,2018,10,26,['https://i.scdn.co/image/ab67616100005174ad8549f8d455d6c9b2c251d0'],https://i.scdn.co/image/ab67616d00001e02ce1455251bfb5e0245c77bc8,Bluejaysramsden,2022-02-04T17:34:24Z,6pEAd0UjznaKABT7WLLvmC,https://open.spotify.com/embed/track/6pEAd0UjznaKABT7WLLvmC
30,Lose It,['Oh Wonder'],"['electropop', 'indie poptimism', 'pop', 'pop rock']",[73],Oh Wonder,3.8322333333333334,2015,09,04,['https://i.scdn.co/image/ab67616100005174e378734ef7d3c4d6ed1eddc9'],https://i.scdn.co/image/ab67616d00001e027cc94e776ebb63dd08c8422c,edgar.mtz97,2022-02-05T21:11:50Z,2QgNcjwEn0vGmTommfszQd,https://open.spotify.com/embed/track/2QgNcjwEn0vGmTommfszQd
31,Heading Home - Nick Talos Remix,"['Gryffin', 'Josef Salvat', 'Nick Talos']","['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house', 'electropop', 'gauze pop', 'vapor soul', 'german dance']","[76, 51, 38]",Heading Home (Remixes),2.9913333333333334,2016,05,20,"['https://i.scdn.co/image/ab67616100005174f17d4aab5de301a7681d9351', 'https://i.scdn.co/image/ab6761610000517470bd2712702f53b460c8d05a', 'https://i.scdn.co/image/ab67616100005174b51739062dfb31d7cb89d9e7']",https://i.scdn.co/image/ab67616d00001e022718885f94ad47949a8a92ae,edgar.mtz97,2022-02-07T14:35:14Z,5i3oFRgv01h8957xtGq1XH,https://open.spotify.com/embed/track/5i3oFRgv01h8957xtGq1XH
32,Technicolour Beat,['Oh Wonder'],"['electropop', 'indie poptimism', 'pop', 'pop rock']",[73],Oh Wonder,3.0019833333333334,2015,09,04,['https://i.scdn.co/image/ab67616100005174e378734ef7d3c4d6ed1eddc9'],https://i.scdn.co/image/ab67616d00001e027cc94e776ebb63dd08c8422c,katy ann,2022-02-07T17:05:23Z,5pLpkaIRobcvPnUmclNv6o,https://open.spotify.com/embed/track/5pLpkaIRobcvPnUmclNv6o
33,Lights Are On,['Tom Rosenthal'],['british singer-songwriter'],[72],Lights Are On,3.22915,2018,09,07,['https://i.scdn.co/image/ab67616100005174dde4c43fb104f7c036b371b0'],https://i.scdn.co/image/ab67616d00001e021e67c3d9d49e3782b2eca255,katy ann,2022-02-07T17:07:57Z,34MiqQVPfbpALhdlEyxI8N,https://open.spotify.com/embed/track/34MiqQVPfbpALhdlEyxI8N
34,Blinding,['Florence + The Machine'],"['baroque pop', 'pop', 'uk alternative pop']",[77],My Favorite Ghosts,4.667766666666667,2022,02,04,['https://i.scdn.co/image/ab67616100005174c64961ea896a2966150d7458'],https://i.scdn.co/image/ab67616d00001e026825eaff305ed6267c7b21a4,katy ann,2022-02-07T17:08:37Z,7Hx3IBM6FD76Fd8WVvj5X5,https://open.spotify.com/embed/track/7Hx3IBM6FD76Fd8WVvj5X5
35,Weightless,['All Time Low'],"['modern rock', 'pop punk', 'rock']",[75],Nothing Personal (Deluxe Version),3.3,2009,07,07,['https://i.scdn.co/image/ab676161000051746aa4d0d5295afc0b7bacec49'],https://i.scdn.co/image/ab67616d00001e02bd7374cabcaa20422ac046ad,edgar.mtz97,2022-02-08T00:50:03Z,4cqYUqmKMcb3q1tdImVpGW,https://open.spotify.com/embed/track/4cqYUqmKMcb3q1tdImVpGW
