,track_name,track_artists,artist_genres,artist_popularity,track_album,track_duration,album_release:yyyy,album_release:mm,album_release:dd,artist_image,track_image,added_by,added_at,track_id,embed_src
0,Cometa,['CNCO'],"['boy band', 'latin', 'latin pop', 'reggaeton']",[75],Primera Cita,3.6273333333333335,2016,08,26,['https://i.scdn.co/image/ab6761610000517423caa31a1b10bc8b3ec44fd1'],https://i.scdn.co/image/ab67616d00001e027db0f7ac4c612cce26ccacf9,rachelfaye1013,2022-02-14T17:16:32Z,1WQ7bva0BxjqoJP2bXWIIG,https://open.spotify.com/embed/track/1WQ7bva0BxjqoJP2bXWIIG
1,The Story,['Brandi Carlile'],"['acoustic pop', 'folk', 'lilith', 'modern folk rock', 'neo mellow', 'new americana']",[69],The Story,3.9748833333333335,2007,04,03,['https://i.scdn.co/image/ab67616100005174ff1a1f1f10134083ec51438f'],https://i.scdn.co/image/ab67616d00001e027ce8763fe2a173ad26ca3032,rachelfaye1013,2022-02-14T17:16:00Z,0EKBV6GybPtALXUgWqWrym,https://open.spotify.com/embed/track/0EKBV6GybPtALXUgWqWrym
2,Roads,['KAWALA'],['uk pop'],[54],Counting the Miles,4.08045,2019,03,20,['https://i.scdn.co/image/ab6761610000517496dfe72eb4ada2a6b21226eb'],https://i.scdn.co/image/ab67616d00001e025fdf14ecce29e2df114f1e06,rachelfaye1013,2022-02-14T17:15:34Z,00NT7AC3LGEHSjZlbrVhXv,https://open.spotify.com/embed/track/00NT7AC3LGEHSjZlbrVhXv
3,Knee Socks,['Arctic Monkeys'],"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",[87],AM,4.292716666666666,2013,09,09,['https://i.scdn.co/image/ab6761610000517439f37a34b404169fdca52dc8'],https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163,Daniel Xenes,2022-02-10T16:17:11Z,2LGdO5MtFdyphi2EihANZG,https://open.spotify.com/embed/track/2LGdO5MtFdyphi2EihANZG
4,"ETA (with Snoop Dogg, Busta Rhymes & Anderson .Paak)","['Dr. Dre', 'Snoop Dogg', 'Busta Rhymes', 'Anderson .Paak']","['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'escape room']","[85, 87, 76, 85]","ETA (with Snoop Dogg, Busta Rhymes & Anderson .Paak)",3.953883333333333,2022,02,04,"['https://i.scdn.co/image/170254ebdd747f4e7045df1cae8f11a42dc1a547', 'https://i.scdn.co/image/ab676161000051749a398209a4ef3360dce2dec4', 'https://i.scdn.co/image/ab676161000051747b31aba081ef084510cde4e3', 'https://i.scdn.co/image/ab6761610000517496287bd47570ff13f0c01496']",https://i.scdn.co/image/ab67616d00001e028c1c81f72cc3cdca0e3adab4,Daniel Xenes,2022-02-10T16:04:46Z,0bzX26mfmUi0djOLemE2b8,https://open.spotify.com/embed/track/0bzX26mfmUi0djOLemE2b8
5,Cola - ZHU Remix,"['CamelPhat', 'Elderbrook', 'ZHU']","['deep tech house', 'edm', 'house', 'pop dance', 'progressive house', 'tropical house', 'house', 'pop dance', 'tropical house', 'edm', 'electro house']","[68, 72, 71]",Cola (ZHU Remix),5.440733333333333,2018,01,19,"['https://i.scdn.co/image/ab6761610000517493a3ec5e8addcbfe818ab825', 'https://i.scdn.co/image/ab676161000051748d2adb4e5c933395638771cd', 'https://i.scdn.co/image/ab676161000051745cc7aca0b30b4214a4dc154e']",https://i.scdn.co/image/ab67616d00001e02cb597a2228808deb37eea1e4,Daniel Xenes,2022-02-10T16:08:10Z,0TjqjAJpzv3EHrsEelLQGZ,https://open.spotify.com/embed/track/0TjqjAJpzv3EHrsEelLQGZ
6,Losing My Religion,['R.E.M.'],"['alternative rock', 'athens indie', 'classic rock', 'permanent wave', 'pop rock', 'rock']",[76],Out Of Time (25th Anniversary Edition),4.473766666666666,1991,03,12,['https://i.scdn.co/image/ab676161000051746334ab6a83196f36475ada7f'],https://i.scdn.co/image/ab67616d00001e02e2dd4e821bcc3f70dc0c8ffd,Hannah Gooden,2022-02-10T16:27:35Z,31AOj9sFz2gM0O3hMARRBx,https://open.spotify.com/embed/track/31AOj9sFz2gM0O3hMARRBx
7,Hot Blood,['KALEO'],"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",[72],A/B,3.6433333333333335,2016,06,10,['https://i.scdn.co/image/ab67616100005174ece7abde99be7145c0cbbe21'],https://i.scdn.co/image/ab67616d00001e02f793a842c1642b09a768a63b,Hannah Gooden,2022-02-10T16:27:46Z,7d9sZF7jmepe2EYdETlNWK,https://open.spotify.com/embed/track/7d9sZF7jmepe2EYdETlNWK
8,F.U.,['Pigeons Playing Ping Pong'],['jam band'],[48],Psychology,4.683333333333334,2014,07,03,['https://i.scdn.co/image/ab676161000051743fa2bd500e4a19fbe68f11a3'],https://i.scdn.co/image/ab67616d00001e02453c76a540cbceedb48b2438,Hannah Gooden,2022-02-10T16:27:59Z,6fMXV0atg5MKoWYf8THNxE,https://open.spotify.com/embed/track/6fMXV0atg5MKoWYf8THNxE
9,Hacker,['Death Grips'],"['alternative hip hop', 'art pop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'underground hip hop']",[64],The Money Store,4.592,2012,04,23,['https://i.scdn.co/image/6cf74eae3b622bdd8c8cbcb944a0cbb5abc1f337'],https://i.scdn.co/image/ab67616d00001e02b4f8459b0f719f8a97ee1c8c,Justin Joyce,2022-02-10T16:34:34Z,7y8X0Z04gJCKtfrnSAMywJ,https://open.spotify.com/embed/track/7y8X0Z04gJCKtfrnSAMywJ
